"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Dynamic Discs","Suspect","176.8","21.3","1.6","1.2","18.9","1.2","5.6","47.50","7.60","","","","13-26","Mar 10, 2013"
"Westside Golf Discs","Giant VIP Air (VIP Air Vipunen1)","175.1","21.1","1.7","1.2","16.6","2.3","5.7","29.25","10.43","","","","13-22","Mar 10, 2013"
"Westside Golf Discs","Stag VIP Air (VIP Air Hiiden Hirvi1)","175.1","21.1","1.8","1.2","17.3","1.9","5.7","29.25","8.85","","","","13-23","Mar 10, 2013"
"Westside Golf Discs","Sword VIP Air (VIP Air Kalevan Miekka1)","175.1","21.1","1.7","1.2","16.7","2.2","5.7","28.75","8.96","","","","13-24","Mar 10, 2013"
"Westside Golf Discs","Warship VIP Air (VIP Air Pursi1)","180.1","21.7","1.9","1.3","18.9","1.4","6.0","31.00","7.37","","","","13-25","Mar 10, 2013"
"Prodigy Disc","M1","180.1","21.7","2.0","1.3","18.9","1.4","6.0","39.25","8.39","","","","13-11","Mar 5, 2013"
"Prodigy Disc","M2 (originally M3)","180.1","21.7","2.0","1.3","18.9","1.4","6.0","41.00","8.28","","","","13-13","Mar 5, 2013"
"Prodigy Disc","M3 (originally M2)","180.1","21.7","1.9","1.3","18.9","1.4","6.0","43.25","8.39","","","","13-12","Mar 5, 2013"
"Prodigy Disc","M4","180.1","21.7","2.0","1.3","18.9","1.4","6.0","52.00","8.85","","","","13-14","Mar 5, 2013"
"Prodigy Disc","PA1","174.3","21.0","1.9","1.4","19.0","1.0","6.7","57.50","6.01","","","","13-17","Mar 5, 2013"
"Prodigy Disc","PA2","175.1","21.1","1.9","1.4","19.1","1.0","6.6","47.50","11.91","","","","13-18","Mar 5, 2013"
"Prodigy Disc","PA4","174.3","21.0","1.9","1.4","19.0","1.0","6.7","69.25","6.46","","","","13-19","Mar 5, 2013"
"Latitude 64","Mace","180.9","21.8","2.1","1.3","19.2","1.3","6.0","38.75","8.39","","","","13-21","Mar 4, 2013"
"Prodiscus","Laseri","175.1","21.1","1.6","1.1","17.2","1.9","5.2","32.25","6.24","","","","13-20","Mar 4, 2013"
"Disc Golf Association","Proline Breaker","174.3","21.0","1.7","1.2","19.0","1.0","5.7","62.00","12.02","","","","13-10","Feb 22, 2013"
"MVP Disc Sports","Tangent","178.5","21.5","2.1","1.3","19.1","1.2","6.0","54.50","7.94","","","","13-15","Feb 22, 2013"
"Discmania","P3 (Putt & Approach)","176.0","21.2","2.0","1.2","19.2","1.0","5.7","59.00","9.30","","","","13-09","Feb 13, 2013"
"DMI Sports","Assault","175.1","21.1","2.2","1.3","18.9","1.1","6.2","47.00","6.12","","","","13-06","Feb 8, 2013"
"DMI Sports","Sabotage","177.6","21.4","2.2","1.3","19.0","1.2","6.1","45.50","6.24","","","","13-07","Feb 8, 2013"
"DMI Sports","Vendetta","175.1","21.1","2.4","1.4","18.9","1.1","6.6","50.25","5.33","","","","13-08","Feb 8, 2013"
"Yikun Discs","135G UltiPro Junior Ultimate Disc (克标准青少年飞盘)","199.2","24.0","3.1","1.7","22.6","0.7","7.1","85.75","9.41","Super Class","","","13-77","Jan 16, 2013"
"Yikun Discs","150G WaKa Freestyle Disc (克花式飞盘)","200.0","26.9","3.4","2.0","25.7","0.6","7.4","114.25","6.69","Super Class & Vintage Class","180.2","","13-78","Jan 16, 2013"
"Yikun Discs","175G UltiPro Ultimate Disc (克标准极限飞盘)","200.0","27.3","3.5","1.9","25.9","0.7","7.0","93.00","10.21","Super Class","","","13-79","Jan 16, 2013"
"Yikun Discs","View (视)","175.1","21.1","2.0","1.2","17.6","1.7","5.7","32.75","9.98","","","","13-76","Jan 16, 2013"
"MVP Disc Sports","Shock","175.1","21.1","1.6","1.1","17.2","1.9","5.2","29.75","12.13","","","","13-05","Jan 15, 2013"
"Prodigy Disc","D1","174.3","21.0","1.9","1.2","16.3","2.3","5.7","26.75","11.57","","","","13-01","Jan 1, 2013"
"Prodigy Disc","D2","174.3","21.0","1.9","1.2","16.3","2.3","5.7","30.50","11.34","","","","13-02","Jan 1, 2013"
"Prodigy Disc","D3","174.3","21.0","1.7","1.2","16.3","2.3","5.7","30.25","12.02","","","","13-03","Jan 1, 2013"
"Prodigy Disc","D4","174.3","21.0","1.9","1.2","16.3","2.3","5.7","30.00","12.13","","","","13-04","Jan 1, 2013"
"Eurodisc","Delivery","174.3","21.0","2.0","1.4","19.0","1.0","6.7","59.00","9.52","","","","12-60","Dec 11, 2012"
"Eurodisc","Transition","176.8","21.3","1.9","1.3","18.7","1.3","6.1","46.00","9.98","","","","12-61","Dec 11, 2012"
"Eurodisc","Transporter","175.1","21.1","1.7","1.2","17.5","1.8","5.7","28.00","10.43","","","","12-62","Dec 11, 2012"
"Dynamic Discs","Escape","175.1","21.1","2.0","1.1","17.1","2.0","5.2","27.75","10.32","","","","12-56","Dec 7, 2012"
"Dynamic Discs","Fugitive","180.9","21.8","2.1","1.3","19.1","1.4","6.0","39.00","7.82","","","","12-57","Dec 7, 2012"
"Dynamic Discs","Judge","176.0","21.2","2.0","1.5","18.9","1.1","7.1","58.25","4.20","","","","12-58","Dec 7, 2012"
"Dynamic Discs","Trespass","175.1","21.1","1.9","1.1","16.7","2.1","5.2","26.25","10.32","","","","12-59","Dec 7, 2012"
"Innova Champion Discs","Tern","175.1","21.1","1.7","1.1","16.6","2.3","5.2","28.50","11.91","","","","12-55","Dec 3, 2012"
"Legacy Discs","Patriot","176.0","21.2","1.8","1.1","17.6","1.8","5.2","28.25","12.02","","","","12-53","Nov 28, 2012"
"MVP Disc Sports","Amp","174.3","21.0","1.7","1.1","17.2","1.9","5.2","26.00","11.00","","","","12-51","Nov 14, 2012"
"Discraft","Zombee (Ace Race 2012)","179.3","21.6","2.1","1.2","18.4","1.6","5.6","34.75","10.77","","","","12-50","Nov 13, 2012"
"Legacy Discs","Rival","176.8","21.3","2.0","1.2","17.8","1.8","5.6","29.25","11.11","","","","11-54","Nov 2, 2012"
"Vibram Disc Golf","Lace","174.3","21.0","1.8","1.1","16.2","2.4","5.2","28.50","8.05","","","","12-47","Oct 30, 2012"
"Westside Golf Discs","King VIP Air (VIP Air Pohjolan Isäntä1)","176.0","21.2","1.8","1.1","16.5","2.3","5.2","29.25","8.39","","","","12-43","Oct 30, 2012"
"Westside Golf Discs","Stag (Hiiden Hirvi1)","176.0","21.2","1.8","1.2","17.4","1.9","5.7","29.25","9.30","","","","12-40","Oct 30, 2012"
"Westside Golf Discs","Tursas (Tursas1)","180.1","21.7","1.7","1.3","18.9","1.4","6.0","42.50","7.82","","","","12-41","Oct 30, 2012"
"Westside Golf Discs","Underworld (Manala1)","176.8","21.3","1.8","1.2","17.4","1.9","5.6","30.25","8.39","","","","12-42","Oct 30, 2012"
"Rip Disc Golf","Ballistic","175.1","21.1","2.0","1.2","16.4","2.4","5.7","33.25","11.45","","","","12-38","Sep 19, 2012"
"ABC Discs","Bee Line","175.1","21.1","1.6","1.1","16.2","2.5","5.2","26.25","8.39","","","","12-36","Sep 12, 2012"
"Discmania","TD2 (Fever, Turn Driver)","175.1","21.1","1.6","1.1","16.9","2.1","5.2","30.25","10.77","","","","12-37","Sep 12, 2012"
"Prodiscus","Slaidi","175.1","21.1","2.0","1.2","16.8","2.2","5.7","30.50","7.71","","","","12-35","Sep 12, 2012"
"Latitude 64","Ruby","178.5","21.5","1.9","1.4","19.5","1.0","6.5","69.00","3.86","","","","12-34","Jul 2, 2012"
"MVP Disc Sports","Volt","175.1","21.1","1.6","1.1","17.1","2.0","5.2","28.25","10.09","","","","12-33","Jul 2, 2012"
"Latitude 64","Pearl","179.3","21.6","1.8","1.2","19.2","1.2","5.6","49.25","4.20","","","","12-32","Jun 27, 2012"
"Vibram Disc Golf","Obex","178.5","21.5","2.1","1.2","18.9","1.3","5.6","41.00","4.54","","","","12-26","Jun 27, 2012"
"Daredevil Discs","Bigfoot","175.1","21.1","1.6","1.1","16.1","2.5","5.2","26.00","6.69","","","","12-29","Jun 5, 2012"
"Daredevil Discs","Yeti","175.1","21.1","1.6","1.1","16.1","2.5","5.2","26.00","8.05","","","","12-30","Jun 5, 2012"
"Latitude 64","Mercy","176.0","21.2","2.1","1.5","19.1","1.1","7.1","61.50","7.94","","","","12-24","May 20, 2012"
"Latitude 64","Saint","176.0","21.2","1.9","1.2","17.4","1.9","5.7","29.25","8.85","","","","12-25","May 20, 2012"
"Millennium Golf Discs","Scorpius","175.1","21.1","1.7","1.2","16.3","2.4","5.7","26.25","9.41","","","","12-23","May 20, 2012"
"Legacy Discs","Ghost","180.1","21.7","2.0","1.3","19.3","1.2","6.0","42.75","5.44","","","","12-22","May 13, 2012"
"CHING Sports","Supreme Genesis","176.0","21.2","1.8","1.1","16.8","2.2","5.2","27.75","8.51","","","","12-21","May 2, 2012"
"Innova Champion Discs","Krait","176.0","21.2","2.3","1.2","16.6","2.3","5.7","30.25","12.13","","","","12-20","May 2, 2012"
"Crosslap Disc Golf Parks","Lucky","180.1","21.7","1.7","1.3","19.1","1.3","6.0","43.50","5.33","","","","12-18","Apr 22, 2012"
"Gateway Disc Sports","Samurai","175.1","21.1","1.8","1.2","16.5","2.3","5.7","29.25","11.57","","","","12-19","Apr 22, 2012"
"Latitude 64","Villain","175.1","21.1","1.7","1.2","16.8","2.1","5.7","28.00","10.41","","","","12-63","Apr 1, 2012"
"Skyquest Discs","L13 (retooled)","175.1","21.1","1.5","1.1","16.9","2.1","5.2","26.75","6.35","","","","12-17","Mar 25, 2012"
"Westside Golf Discs","Giant (Vipunen1)","175.1","21.1","1.7","1.2","16.6","2.3","5.7","29.25","10.89","","","","12-16","Mar 25, 2012"
"Gateway Disc Sports","Karma","181.8","21.9","1.9","1.1","19.1","1.4","5.0","42.50","12.25","","","","12-13","Mar 18, 2012"
"Gateway Disc Sports","Mystic","180.9","21.8","1.9","1.1","18.8","1.5","5.0","49.75","12.02","","","","12-64","Mar 18, 2012"
"Legacy Discs","Clozer","176.0","21.2","2.1","1.4","19.4","0.9","6.6","58.25","8.73","","","","12-10","Feb 14, 2012"
"Disc Golf Association","Undertow (ProLine)","178.5","21.5","1.6","1.2","17.3","2.1","5.6","28.25","10.77","","","","12-12","Feb 12, 2012"
"Disc Golf Association","Undertow (SP-line)","177.6","21.4","1.8","1.2","17.2","2.1","5.6","28.25","12.02","","","","12-09","Feb 3, 2012"
"Daredevil Discs","Sasquatch","174.3","21.0","1.7","1.1","16.0","2.5","5.2","26.50","11.23","","","","12-08","Jan 29, 2012"
"Innova Champion Discs","Dominator","175.1","21.1","1.4","1.1","16.2","2.4","5.2","27.75","11.45","","","","12-06","Jan 22, 2012"
"Innova Champion Discs","Mamba","175.1","21.1","1.7","1.1","16.9","2.1","5.2","27.50","8.48","","","","12-07","Jan 22, 2012"
"MVP Disc Sports","Anode","174.3","21.0","2.1","1.4","18.9","1.1","6.7","54.00","6.80","","","","12-05","Jan 15, 2012"
"EMSCO Group","ESP Driver","176.0","21.2","2.5","1.2","16.2","2.5","5.7","30.50","8.05","","","","12-02","Jan 8, 2012"
"EMSCO Group","ESP Midrange","178.5","21.5","2.5","1.2","18.8","1.3","5.6","29.00","7.14","","","","12-03","Jan 8, 2012"
"EMSCO Group","ESP Putter","174.3","21.0","2.7","1.4","19.0","1.0","6.7","56.00","7.37","","","","12-04","Jan 8, 2012"
"Legacy Discs","Clutch","176.0","21.2","2.0","1.4","19.4","0.9","6.6","49.50","6.92","","","","12-01","Jan 2, 2012"
"Westside Golf Discs","Warship (Pursi1)","180.1","21.7","2.1","1.3","18.9","1.4","6.0","31.00","8.05","","","","11-47","Dec 11, 2011"
"Discraft","Zeppelin (Ace Race 2011)","183.4","22.1","2.0","1.5","20.3","0.9","6.8","62.00","8.39","","","","11-43","Nov 27, 2011"
"Discmania","FD (Jackal, Fairway Driver)","176.0","21.2","1.8","1.1","17.5","1.8","5.2","34.75","9.53","","","","11-41","Nov 13, 2011"
"Innova Champion Discs","Lycan","180.9","21.8","2.1","1.4","18.8","1.5","6.4","49.75","10.09","","","","11-42","Nov 13, 2011"
"Legacy Discs","Cannon","175.1","21.1","1.8","1.2","16.1","2.5","5.7","26.00","10.43","","","","11-39","Oct 25, 2011"
"Prodiscus","Legenda","174.3","21.0","1.5","1.1","16.3","2.4","5.2","26.75","5.44","","","","11-38","Oct 25, 2011"
"Skyquest Discs","L13","176.0","21.2","1.5","1.1","17.0","2.1","5.2","26.75","6.46","","","","11-40","Oct 25, 2011"
"Innova Champion Discs","TeeDevil","176.0","21.2","1.6","1.2","16.4","2.4","5.7","28.50","11.79","","","","11-37","Aug 14, 2011"
"MVP Disc Sports","Axis","180.9","21.8","2.1","1.3","19.2","1.3","6.0","43.75","7.37","","","","11-34","Jul 15, 2011"
"Prodiscus","Midari","179.3","21.6","1.8","1.5","18.8","1.4","6.9","37.50","4.88","","","","11-33","Jul 15, 2011"
"Legacy Discs","Rampage","175.1","21.1","1.8","1.2","16.1","2.5","5.7","26.00","10.55","","","","11-32","Jul 14, 2011"
"Millennium Golf Discs","Quasar","176.0","21.2","1.6","1.2","16.2","2.5","5.7","27.25","12.13","","","","11-31","Jul 14, 2011"
"Crosslap Disc Golf Parks","Credo","180.1","21.7","2.0","1.6","19.3","1.2","7.4","49.75","7.26","","","","11-30","Jun 26, 2011"
"Vibram Disc Golf","Sole","176.0","21.2","2.3","1.5","19.2","1.0","7.1","58.75","5.10","","","","11-29","Jun 24, 2011"
"Gateway Disc Sports","Slayer","174.3","21.0","1.7","1.2","16.4","2.3","5.7","30.00","9.75","","","","11-18","Jun 23, 2011"
"Ferris State University","Imagine","191.7","23.1","2.9","1.4","21.8","0.6","6.1","73.00","3.40","","","","11-35","Jun 22, 2011"
"Millennium Golf Discs","Astra","175.1","21.1","1.5","1.2","16.7","2.2","5.7","28.25","8.28","","","","11-24","Jun 17, 2011"
"Discraft","Nuke OS","176.0","21.2","1.6","1.2","16.2","2.5","5.7","30.75","8.16","","","","11-23","Jun 9, 2011"
"Skyiron","Flagship","178.5","21.5","1.3","1.1","17.2","2.2","5.1","26.25","9.98","","","","11-22","Jun 7, 2011"
"Vibram Disc Golf","Trak","174.3","21.0","1.7","1.2","17.2","1.9","5.7","33.25","6.12","","","","11-21","May 26, 2011"
"Latitude 64","Bolt","175.1","21.1","1.7","1.1","16.4","2.4","5.2","27.75","10.09","","","","11-20","May 17, 2011"
"Westside Golf Discs","Sword (Kalevan Miekka1)","176.0","21.2","1.8","1.2","16.8","2.2","5.7","28.75","9.41","","","","11-19","May 6, 2011"
"Rip Disc Golf","Graboide","176.0","21.2","2.5","1.7","18.6","1.3","8.0","73.00","7.94","","","","11-16","Apr 11, 2011"
"Rip Disc Golf","Relic","176.0","21.2","2.4","1.7","18.6","1.3","8.0","76.50","8.51","Vintage Class","142.0","","11-17","Apr 11, 2011"
"Discraft","Nuke SS","176.0","21.2","1.5","1.1","16.2","2.5","5.2","28.75","9.98","","","","11-15","Apr 7, 2011"
"Latitude 64","Diamond","175.1","21.1","1.4","1.1","17.4","1.8","5.2","30.00","6.92","","","","11-14","Mar 21, 2011"
"Skyquest Discs","Medusa","176.0","21.2","1.5","1.1","17.0","2.1","5.2","29.25","5.33","","","","11-13","Mar 21, 2011"
"Westside Golf Discs","Boatman (Tuonelan Lautturi1)","177.6","21.4","1.9","1.3","17.0","2.2","6.1","29.50","10.32","","","","11-12","Mar 21, 2011"
"Innova Champion Discs","Archon","175.1","21.1","1.7","1.2","16.6","2.3","5.7","28.25","11.45","","","","11-11","Mar 9, 2011"
"Prodiscus","Respecti","174.3","21.0","1.8","1.3","17.2","1.9","6.2","33.25","7.03","","","","11-10","Mar 9, 2011"
"Disc Golf Association","Hurricane (SP Line)","175.1","21.1","1.8","1.2","16.5","2.3","5.7","27.00","10.21","","","","11-08","Feb 24, 2011"
"Disc Golf Association","Titanic (D-Line)","174.3","21.0","2.0","1.5","19.0","1.0","7.1","63.50","8.28","","","","11-09","Feb 24, 2011"
"Vibram Disc Golf","Ibex","178.5","21.5","2.4","1.3","18.9","1.3","6.0","46.25","7.14","","","","11-06","Feb 24, 2011"
"Vibram Disc Golf","Trek","174.3","21.0","1.8","1.1","17.2","1.9","5.2","30.75","6.24","","","","11-07","Feb 24, 2011"
"Innova Champion Discs","Ape","175.1","21.1","1.5","1.2","16.2","2.4","5.7","27.75","12.13","","","","11-04","Feb 18, 2011"
"Wham-O, Inc.","Fairway Driver (old)","175.1","21.1","1.6","1.2","17.1","2.0","5.7","26.00","10.87","","","","11-05","Feb 18, 2011"
"Gateway Disc Sports","Scout (new)","180.9","21.8","2.1","1.1","19.0","1.4","5.0","58.75","9.41","","","","11-03","Jan 26, 2011"
"Latitude 64","Havoc","175.1","21.1","1.7","1.1","16.6","2.3","5.2","28.00","12.02","","","","11-02","Jan 10, 2011"
"Latitude 64","Pain","180.1","21.7","2.0","1.4","18.9","1.4","6.5","40.75","9.98","","","","11-01","Jan 10, 2011"
"MVP Disc Sports","Vector","180.1","21.7","2.1","1.3","19.1","1.3","6.0","36.50","4.99","","","","10-42","Dec 18, 2010"
"Innova Champion Discs","Vulcan","176.0","21.2","1.4","1.1","16.4","2.4","5.2","27.25","11.00","","","","10-39","Dec 9, 2010"
"Innova Champion Discs","Wedge","176.0","21.2","1.7","1.2","19.2","1.0","5.7","47.25","4.99","","","","10-41","Dec 9, 2010"
"Discmania","PD2 (Chaos, Power Driver)","175.1","21.1","1.9","1.2","16.4","2.4","5.7","27.25","12.25","","","","10-40","Dec 3, 2010"
"Discraft","Hornet (Ace Race 2010)","178.5","21.5","1.9","1.3","18.9","1.3","6.0","41.50","7.94","","","","10-38","Nov 19, 2010"
"Innova Champion Discs","Wahoo","174.3","21.0","2.0","1.2","16.1","2.4","5.7","33.25","10.21","","","","10-37","Nov 19, 2010"
"Westside Golf Discs","King (Pohjolan Isäntä1)","175.1","21.1","1.9","1.1","16.5","2.3","5.2","29.25","10.55","","","","10-36","Nov 16, 2010"
"Latitude 64","Flow","175.1","21.1","1.8","1.2","16.8","2.2","5.7","27.75","11.11","","","","10-35","Oct 27, 2010"
"Prodiscus","Jokeri","176.8","21.3","1.8","1.5","19.0","1.1","7.0","54.00","6.92","","","","10-34","Oct 27, 2010"
"Westside Golf Discs","Swan (retooled, Tuonelan Joutsen1)","175.1","21.1","1.9","1.4","19.0","1.1","6.6","55.75","7.82","","","","10-32","Oct 12, 2010"
"DKG Disc Sports","Boom","174.3","21.0","2.1","1.2","15.8","2.6","5.7","27.25","11.57","","","","10-27","Sep 3, 2010"
"DKG Disc Sports","Kraken","174.3","21.0","2.1","1.2","15.9","2.5","5.7","28.25","11.11","","","","10-28","Sep 3, 2010"
"DKG Disc Sports","Merc","174.3","21.0","2.0","1.1","15.8","2.6","5.2","26.25","11.91","","","","10-29","Sep 3, 2010"
"DKG Disc Sports","Protégé","174.3","21.0","2.0","1.2","15.8","2.6","5.7","28.50","12.02","","","","10-30","Sep 3, 2010"
"DKG Disc Sports","Tempest","174.3","21.0","2.0","1.3","16.0","2.5","6.2","26.75","12.13","","","","10-31","Sep 3, 2010"
"Vibram Disc Golf","Ascent","175.1","21.1","1.6","1.2","17.3","1.9","5.7","30.00","4.42","","","","10-26","Aug 23, 2010"
"Discmania","DD2 (Frenzy, Distance Driver)","176.0","21.2","1.5","1.1","16.2","2.5","5.2","26.00","8.28","","","","10-24","Aug 18, 2010"
"Disc Golf Association","Hurricane (Proline)","175.1","21.1","1.6","1.2","16.5","2.3","5.7","27.00","12.02","","","","10-23","Aug 3, 2010"
"ABC Discs","Mission","180.9","21.8","2.0","1.4","19.4","1.2","6.4","39.25","6.12","","","","10-22","Jul 27, 2010"
"Discraft","Z-Nuke (retooled)","175.1","21.1","1.6","1.2","16.1","2.5","5.7","28.25","11.45","","","","10-20","Jun 21, 2010"
"Discwing, Ltd.","Fluent","176.0","21.2","1.7","1.2","17.8","1.7","5.7","29.75","3.74","","","","10-17","Jun 3, 2010"
"Discwing, Ltd.","Mark","175.1","21.1","2.2","1.6","19.1","1.0","7.6","70.00","3.97","","","","10-18","Jun 3, 2010"
"Discwing, Ltd.","Vantage","175.1","21.1","1.8","1.2","18.1","1.5","5.7","33.00","4.20","","","","10-19","Jun 3, 2010"
"Latitude 64","River","178.5","21.5","1.9","1.2","17.8","1.8","5.6","30.50","9.07","","","","10-16","Jun 2, 2010"
"Westside Golf Discs","Swan (Tuonelan Joutsen1)","175.1","21.1","2.0","1.4","19.0","1.1","6.6","58.50","5.44","","","","10-15","Jun 1, 2010"
"ABC Discs","Flying Squirrel","181.8","21.9","2.0","1.4","19.4","1.3","6.4","30.75","3.52","","","","10-13","May 29, 2010"
"ABC Discs","Secret Weapon","175.1","21.1","2.0","1.1","17.3","1.9","5.2","26.75","7.26","","","","10-14","May 29, 2010"
"CHING Sports","Fusion Genesis","176.8","21.3","1.4","1.1","16.9","2.2","5.2","30.00","9.30","","","","10-11","May 27, 2010"
"CHING Sports","Fusion Legacy","176.8","21.3","1.7","1.1","18.7","1.3","5.2","42.00","7.60","","","","10-12","May 27, 2010"
"ABC Discs","Gamma Ray","174.3","21.0","1.8","1.3","17.1","1.9","6.2","29.75","11.68","","","","10-07","Apr 9, 2010"
"ABC Discs","Money","174.3","21.0","2.2","1.7","19.0","1.0","8.1","56.50","11.11","","","","10-08","Apr 9, 2010"
"Gateway Disc Sports","Warrior (new)","182.6","22.0","1.9","1.2","19.3","1.4","5.5","42.50","4.76","","","","10-09","Apr 9, 2010"
"Discmania","MD2 (Fiend, Midrange Driver)","180.1","21.7","2.0","1.4","19.0","1.4","6.5","43.75","6.92","","","","10-05","Apr 4, 2010"
"Discmania","TD (Rush, Turn Driver)","176.0","21.2","1.6","1.1","17.3","1.9","5.2","27.50","8.05","","","","10-06","Apr 4, 2010"
"DKG Disc Sports","Hail Mary","174.3","21.0","2.1","1.6","16.6","2.2","7.6","26.50","12.02","","","","10-01","Apr 4, 2010"
"DKG Disc Sports","Miracle","174.3","21.0","2.2","1.6","17.2","1.9","7.6","40.75","11.11","","","","10-03","Apr 4, 2010"
"DKG Disc Sports","Wing & A Prayer","174.3","21.0","2.2","1.6","17.0","2.0","7.6","26.75","11.91","","","","10-02","Apr 4, 2010"
"Latitude 64","Fuse","181.8","21.9","2.1","1.3","19.3","1.3","5.9","42.50","8.28","","","","10-04","Apr 4, 2010"
"Latitude 64","Halo","176.0","21.2","1.4","1.1","16.3","2.4","5.2","26.25","11.11","","","","09-30","Dec 3, 2009"
"Vibram Disc Golf","Ridge","175.1","21.1","2.0","1.6","19.3","0.9","7.6","61.25","8.05","","","","09-28","Dec 3, 2009"
"Westside Golf Discs","Northman (Pohjan Poika1)","178.5","21.5","1.7","1.1","17.5","2.0","5.1","28.25","9.64","","","","09-29","Dec 3, 2009"
"Discraft","Nuke","176.0","21.2","1.6","1.2","16.1","2.5","5.7","28.25","9.87","","","","09-27","Oct 31, 2009"
"Hero Leports Co., Ltd.","Guardian","176.8","21.3","2.1","1.5","19.3","1.0","7.0","54.75","4.08","","","","09-26","Oct 30, 2009"
"Innova Champion Discs","Katana","176.0","21.2","1.8","1.2","16.3","2.5","5.7","26.25","10.32","","","","09-23","Oct 18, 2009"
"Innova Champion Discs","Mako","180.1","21.7","2.1","1.4","19.3","1.2","6.5","52.75","8.96","","","","09-22","Sep 18, 2009"
"MVP Disc Sports","Ion","174.3","21.0","1.9","1.6","18.8","1.1","7.6","62.50","2.83","","","","09-21","Sep 14, 2009"
"Discraft","Focus (Ace Race 2009)","175.1","21.1","2.1","1.6","19.1","1.0","7.6","60.25","8.85","","","","09-20","Sep 9, 2009"
"CHING Sports","Power Precision","176.8","21.3","2.2","1.4","18.7","1.3","6.6","48.25","8.05","","","","09-19","Aug 4, 2009"
"Latitude 64","Blitz","176.0","21.2","1.6","1.2","16.8","2.2","5.7","30.50","9.19","","","","09-18","Jul 21, 2009"
"Discraft","Ringer","174.3","21.0","1.8","1.2","19.2","0.9","5.7","67.75","6.12","","","","09-16","Jun 17, 2009"
"Discraft","Stalker","179.3","21.6","1.6","1.2","18.4","1.6","5.6","32.50","8.51","","","","09-17","Jun 17, 2009"
"Gateway Disc Sports","Apache (retooled)","176.8","21.3","1.8","1.2","17.4","1.9","5.6","28.50","4.76","","","","09-15","Apr 16, 2009"
"Gateway Disc Sports","Savage","176.8","21.3","1.8","1.2","17.4","1.9","5.6","30.00","5.33","","","","09-14","Apr 16, 2009"
"Latitude 64","Pure","176.0","21.2","1.8","1.4","19.2","1.0","6.6","48.25","6.69","","","","09-13","Apr 13, 2009"
"Disc Golf Association","Aftershock (D-Line)","178.5","21.5","2.1","1.2","18.9","1.3","5.6","38.00","7.60","","","","09-11","Apr 9, 2009"
"Disc Golf Association","Sparkle Reef","176.0","21.2","2.1","1.4","19.2","1.0","6.6","49.25","5.10","","","","09-12","Apr 9, 2009"
"Gateway Disc Sports","Voodoo","175.1","21.1","2.1","1.6","19.1","1.0","7.6","62.00","3.52","","","","09-10","Mar 31, 2009"
"Lightning Discs","Maxline -- 1","176.8","21.3","1.7","1.1","17.1","2.1","5.2","33.25","7.03","","","","09-08","Feb 27, 2009"
"Disc Golf Association","Aftershock","178.5","21.5","2.0","1.2","18.9","1.3","5.6","38.00","7.82","","","","09-06","Feb 26, 2009"
"Disc Golf Association","Sparkle Aftershock","179.3","21.6","2.0","1.2","19.0","1.3","5.6","38.00","7.26","","","","09-07","Feb 26, 2009"
"Innova Champion Discs","Dart","176.0","21.2","2.2","1.4","18.8","1.2","6.6","38.00","5.10","","","","09-05","Feb 18, 2009"
"Vibram Disc Golf","Summit","175.1","21.1","1.9","1.2","19.2","0.9","5.7","61.25","0.56","","","","09-04","Jan 28, 2009"
"CHING Sports","Ching Big Heavy","200.0","26.4","3.7","2.1","24.9","0.7","8.0","104.00","8.52","Super Class & Vintage Class","176.9","","09-03","Jan 19, 2009"
"CHING Sports","Ching Ultimate","200.0","26.6","3.6","2.1","25.1","0.7","7.9","104.00","6.58","Super Class & Vintage Class","178.2","","09-02","Jan 19, 2009"
"Vibram Disc Golf","V.P.","175.1","21.1","2.0","1.6","19.1","0.9","7.6","66.75","4.76","","","","09-01","Jan 19, 2009"
"Disc Golf Association","Blowfly II","180.1","21.7","2.3","1.7","18.9","1.4","7.8","46.60","1.13","","","","08-38","Dec 21, 2008"
"Disc Golf Association","Tsunami (D-Line)","176.0","21.2","1.8","1.2","17.5","1.9","5.7","26.50","12.13","","","","08-39","Dec 21, 2008"
"Innova Champion Discs","Groove","175.1","21.1","1.7","1.2","16.3","2.4","5.7","28.00","10.21","","","","08-37","Dec 5, 2008"
"Discraft","Nebula (Ace Race 2008)","176.8","21.3","2.0","1.3","18.7","1.3","6.1","44.50","7.03","","","","08-36","Nov 26, 2008"
"Latitude 64","Trident","177.6","21.4","1.4","1.1","17.6","1.9","5.1","36.75","11.11","","","","08-34","Nov 25, 2008"
"Latitude 64","XXX","178.5","21.5","1.5","1.1","17.5","2.0","5.1","32.50","12.02","","","","08-33","Nov 21, 2008"
"Latitude 64","Striker","177.6","21.4","1.6","1.2","17.6","1.9","5.6","29.00","11.68","","","","08-32","Nov 12, 2008"
"Latitude 64","Riot","176.0","21.2","1.9","1.2","16.8","2.2","5.7","30.00","8.73","","","","08-30","Aug 30, 2008"
"Discmania","DD (Hysteria, Distance Driver)","175.1","21.1","1.6","1.2","16.7","2.2","5.7","30.25","9.19","","","","08-29","Aug 26, 2008"
